condition,replicate,n_generated,p1_kr_frac,mean_valid_frac,kl_aa,mean_novelty,mean_seqid,diversity
Full family,1,930,0.4075268817204301,1.0,0.006856138765633305,0.701851531091246,0.5799959423818222,0.5540880503144654
Full family,2,930,0.4096774193548387,1.0,0.006794374657262403,0.7014846782861611,0.5799147900182595,0.56
Full family,3,930,0.4064516129032258,1.0,0.006921225694481871,0.7015603739195206,0.579894501927369,0.5552201257861635
Full family,4,930,0.4118279569892473,1.0,0.0069831631084186635,0.7018732572152789,0.5796510448366812,0.5586163522012577
Full family,5,930,0.42258064516129035,1.0,0.006906693793492394,0.701957864365282,0.5792858592006495,0.5516981132075471
Strong binders,1,930,1.0,1.0,0.00920583768176798,0.5697296402790657,0.6750050720227226,0.5038993710691824
Strong binders,2,930,1.0,1.0,0.0091772503118574,0.5698379569391145,0.6747819030229254,0.49616352201257863
Strong binders,3,930,1.0,1.0,0.009329265344872372,0.5706932663891736,0.6735037532968147,0.49735849056603776
Strong binders,4,930,1.0,1.0,0.009081502407886933,0.5699412445249281,0.6745993102049097,0.5010691823899371
Strong binders,5,930,1.0,1.0,0.008995301483287388,0.5703926734502714,0.6739095151146276,0.5027672955974842
Weak binders,1,930,0.0,1.0,0.009530700698904413,0.6602953825784741,0.6040170419963483,0.5322641509433963
Weak binders,2,930,0.0,1.0,0.009556883278580394,0.6600926887254333,0.604199634814364,0.5323270440251572
Weak binders,3,930,0.0,1.0,0.009475955245632939,0.6603792050169867,0.6041387705416922,0.5330188679245282
Weak binders,4,930,0.0,1.0,0.009535419503994533,0.6603513363887445,0.6043416514505985,0.5314465408805029
Weak binders,5,930,0.0,1.0,0.009506987509616429,0.6602940632861316,0.6041184824508015,0.5382389937106917
