f_target,ρ,f_obs_combined,f_obs_standard,soft_p1_combined,soft_p1_standard
0.1,0.2326388888888889,0.3403225806451613,0.3564516129032258,0.20050436671452357,0.21301023809119096
0.2,0.5234375,0.3580645161290323,0.3709677419354839,0.20907005816670635,0.2222943492655465
0.3,0.8973214285714285,0.38387096774193546,0.3919354838709677,0.21760363450273482,0.23163263742314452
0.4,1.3958333333333335,0.3967741935483871,0.42258064516129035,0.22610493691796546,0.24102553284645067
0.5,2.09375,0.4290322580645161,0.43870967741935485,0.2287253724986824,0.24296220735895105
0.6,3.1406249999999996,0.4532258064516129,0.4661290322580645,0.23724626080674754,0.2524580890990827
0.7,4.885416666666666,0.4806451612903226,0.4774193548387097,0.24577198045605458,0.2619153209560316
0.8,8.375000000000002,0.5274193548387097,0.535483870967742,0.24905535566439813,0.2647664248005087
0.9,18.843750000000007,0.5516129032258065,0.5548387096774193,0.25751156792860297,0.2745874441604889
0.95,39.781249999999964,0.5870967741935483,0.5790322580645161,0.2569987210806776,0.2737807851818368
0.99,207.2812499999998,0.6112903225806452,0.6129032258064516,0.2557174650659387,0.2727795899991398
