ρ,f_eff,f_obs,soft_p1,attn_binder,diversity,β
1.0,0.32323232323232326,0.38838709677419353,0.22252277254625696,0.32751197610102467,0.5395849056603772,3.8483348970335034
2.0,0.48854961832061067,0.43612903225806454,0.23034050948568036,0.4938583397088565,0.5306037735849056,4.57890931841707
5.0,0.7048458149779736,0.4967741935483871,0.24893466793735616,0.713356655943417,0.5311698113207547,4.57890931841707
10.0,0.8268733850129198,0.5432258064516129,0.25396163538728256,0.8368720350913358,0.5210566037735849,5.448177226584068
20.0,0.9052333804809052,0.5612903225806452,0.2605838762718258,0.9118803223375537,0.5209056603773585,5.448177226584068
50.0,0.9598080383923215,0.5974193548387097,0.2602260641881465,0.9638470978355175,0.5099245283018867,6.482468428208699
100.0,0.9794918885827977,0.6129032258064516,0.2571323894702826,0.982976469976242,0.5012452830188678,7.713111225104184
200.0,0.9896397092933354,0.6154838709677419,0.2578587403419231,0.9915428057833975,0.5015849056603773,7.713111225104184
500.0,0.9958299620339827,0.6335483870967742,0.25441462987273467,0.996948807758539,0.49177358490566037,9.17738133701449
1000.0,0.9979106246296816,0.6348387096774194,0.25448420463959553,0.9984549918273337,0.4918867924528302,9.17738133701449
