weight,replicate,f_obs,soft_p1,attn_binder,diversity,d_pca,β
1.0,1,0.5153846153846153,0.2624162646960596,0.9601472874275726,0.5245911949685533,80,6.482468428208699
1.0,2,0.5038461538461538,0.25937490049592815,0.9578546459378946,0.5306918238993712,80,6.482468428208699
1.0,3,0.5269230769230769,0.26934911928063654,0.9582447975923164,0.5310062893081762,80,6.482468428208699
1.0,4,0.5326923076923077,0.2675142853834076,0.9579516709694043,0.530188679245283,80,6.482468428208699
1.0,5,0.5538461538461539,0.27543022368353937,0.956897218797001,0.5338364779874214,80,6.482468428208699
1.5,1,0.5538461538461539,0.3434319212691424,0.9598839800760067,0.5161635220125786,79,6.482468428208699
1.5,2,0.5576923076923077,0.34707154350990915,0.959109323639987,0.5127672955974842,79,6.482468428208699
1.5,3,0.551923076923077,0.3471472384263703,0.9605070888023611,0.520188679245283,79,6.482468428208699
1.5,4,0.5557692307692308,0.3456302659615734,0.9587902080456331,0.5136477987421384,79,6.482468428208699
1.5,5,0.55,0.34024643986695213,0.9576194470397054,0.5125157232704403,79,6.482468428208699
2.0,1,0.5596153846153846,0.4051583247707521,0.9651617692395408,0.5035849056603773,78,6.482468428208699
2.0,2,0.551923076923077,0.40024535292485053,0.9642110234818998,0.4983018867924528,78,6.482468428208699
2.0,3,0.55,0.39952743586904305,0.9638959780278036,0.4986163522012579,78,6.482468428208699
2.0,4,0.5442307692307692,0.3976453556653749,0.9620796453921565,0.5001886792452831,78,6.482468428208699
2.0,5,0.5442307692307692,0.3959999867569891,0.9620382518710646,0.5067295597484277,78,6.482468428208699
3.0,1,0.5826923076923077,0.46763108926337105,0.9525769831265011,0.46503144654088047,73,6.482468428208699
3.0,2,0.5711538461538461,0.4632961925320833,0.9510535817006354,0.46729559748427674,73,6.482468428208699
3.0,3,0.5596153846153846,0.4560218633521397,0.9502329695810551,0.46698113207547176,73,6.482468428208699
3.0,4,0.5596153846153846,0.46073653532763437,0.9499771673865495,0.4676100628930817,73,6.482468428208699
3.0,5,0.5538461538461539,0.45725869062322944,0.9484579071482294,0.4666666666666667,73,6.482468428208699
5.0,1,0.5076923076923077,0.47407675623879997,0.9657954823704292,0.4024528301886793,65,6.482468428208699
5.0,2,0.5,0.4709099567379692,0.9651466203066109,0.3968553459119497,65,6.482468428208699
5.0,3,0.5173076923076924,0.484645486570186,0.9659928322399353,0.3986163522012579,65,6.482468428208699
5.0,4,0.5192307692307693,0.48712331843184964,0.9661057523532807,0.3987421383647799,65,6.482468428208699
5.0,5,0.5173076923076924,0.48624185192270414,0.9663205021889493,0.3954716981132077,65,6.482468428208699
8.0,1,0.42115384615384616,0.43075753946196,0.963877349510199,0.31377358490566043,59,6.482468428208699
8.0,2,0.4173076923076923,0.4266949334196657,0.9624639013361592,0.30345911949685533,59,6.482468428208699
8.0,3,0.40576923076923077,0.41772170421420624,0.9605135316021866,0.31018867924528304,59,6.482468428208699
8.0,4,0.4076923076923077,0.4192692248821983,0.9611908454174671,0.3062264150943397,59,6.482468428208699
8.0,5,0.4076923076923077,0.4184239561726286,0.9627111270808958,0.30811320754716987,59,6.482468428208699
10.0,1,0.2980769230769231,0.3452810605336608,0.9623400209170171,0.2749056603773584,57,6.482468428208699
10.0,2,0.29423076923076924,0.33969470373377797,0.9613455546704054,0.2766666666666666,57,6.482468428208699
10.0,3,0.3019230769230769,0.3443706971357185,0.9609302008597727,0.2737106918238992,57,6.482468428208699
10.0,4,0.31153846153846154,0.3516567966493647,0.9619813852106781,0.27597484276729545,57,6.482468428208699
10.0,5,0.3,0.34196275994374276,0.9620731252987837,0.27742138364779867,57,6.482468428208699
15.0,1,0.08461538461538462,0.13711909306428877,0.952258898386162,0.21452830188679228,55,6.482468428208699
15.0,2,0.08461538461538462,0.13992951780630136,0.9542474627005282,0.21465408805031438,55,6.482468428208699
15.0,3,0.09038461538461538,0.1469256454167593,0.9549673481938966,0.21496855345911936,55,6.482468428208699
15.0,4,0.10961538461538461,0.15993514881160523,0.9557221603347913,0.2140251572327042,55,6.482468428208699
15.0,5,0.09807692307692308,0.14982914578488565,0.9560481275658633,0.21081761006289312,55,6.482468428208699
20.0,1,0.019230769230769232,0.059482310438271194,0.9580902419278136,0.16245283018867918,54,6.482468428208699
20.0,2,0.015384615384615385,0.057232634701099856,0.9556082695800648,0.1571069182389938,54,6.482468428208699
20.0,3,0.019230769230769232,0.06226213161525033,0.9555603331445932,0.16578616352201248,54,6.482468428208699
20.0,4,0.021153846153846155,0.06271093681389629,0.9563032721189358,0.16654088050314464,54,6.482468428208699
20.0,5,0.021153846153846155,0.06341761115930204,0.9565106118125942,0.16295597484276747,54,6.482468428208699
