binder_frac_target,binder_frac_actual_mean,binder_frac_actual_std,p1_kr_mean,p1_kr_std,diversity_mean,diversity_std,novelty_mean,novelty_std,valid_mean,valid_std,kl_mean,kl_std,entropy_mean,entropy_std
0.1,0.1,0.0,0.040645161290322585,0.005023358549160463,0.4969182389937107,0.008358511861636516,0.336232501521607,0.007449368024133657,1.0,0.0,0.018795553466520027,0.004573514467493443,1.4372041833929425,0.021881404344445018
0.2,0.2,0.0,0.16483870967741937,0.01782969497475546,0.5033459119496855,0.005435869104055023,0.3434996956786368,0.006716290444800879,1.0,0.0,0.015829191936052547,0.0036362815727904708,1.439444076984215,0.04925505350200061
0.3,0.3,0.0,0.32483870967741935,0.012730701458497504,0.5025660377358492,0.009804101520765858,0.3340779062690203,0.0051979924022674566,1.0,0.0,0.018381812811989785,0.002798694452291432,1.4320943197123461,0.03170654015020061
0.4,0.4,0.0,0.5016129032258064,0.04580474781020299,0.5001509433962263,0.007018231075005613,0.3323371880706028,0.008453579695812617,1.0,0.0,0.019830324235821598,0.0061003228597957,1.4139175642406137,0.05091352220183785
0.5,0.5,0.0,0.6329032258064516,0.04559982930760177,0.49991194968553454,0.009378621750747456,0.33034692635423035,0.0086134074885976,1.0,0.0,0.01711907000330135,0.003368816581695475,1.3844375643583504,0.045646340542381314
0.6,0.6,0.0,0.7870967741935484,0.04033870645290259,0.4961132075471698,0.008721231958362522,0.3247595861229461,0.005674659172926045,1.0,0.0,0.020309546625371624,0.003983463746151829,1.3644487664282192,0.033583420413009046
0.7,0.7,0.0,0.8690322580645162,0.03298377237937789,0.4967798742138365,0.006607276698881166,0.3269446135118687,0.007270752622356818,1.0,0.0,0.02050517353894805,0.0041921195363794975,1.3791382771632281,0.041141416700081514
0.8,0.8,0.0,0.9590322580645161,0.016112895153215692,0.48896855345911944,0.006651014020470434,0.32195982958003677,0.002748899685845013,1.0,0.0,0.021120517028002765,0.007511072411202399,1.3892474430361974,0.0587809006729793
0.9,0.9,0.0,0.9832258064516128,0.010046717098320921,0.4926415094339622,0.007167604206243163,0.31778454047474153,0.004382100829977107,1.0,0.0,0.01749846478069752,0.003176178065920016,1.3480314456421714,0.02074930719476726
1.0,1.0,0.0,1.0,0.0,0.49075471698113216,0.006623958370393211,0.3149969567863667,0.004579273123948344,1.0,0.0,0.021222179240402587,0.0015981844201770124,1.3676552105122792,0.011336921895567887
