f_target,ρ,f_eff,f_observed,K_eff,β_star
0.1,0.2326388888888889,0.10000000000000007,0.3564516129032258,80.63181647235804,3.8483348970335034
0.2,0.5234375,0.2,0.3709677419354839,92.573402417962,3.8483348970335034
0.3,0.8973214285714285,0.2999999999999998,0.3919354838709677,98.75633348687239,3.8483348970335034
0.4,1.3958333333333335,0.4,0.42258064516129035,96.40287769784176,3.8483348970335034
0.5,2.09375,0.5,0.43870967741935485,86.62626262626263,4.57890931841707
0.6,3.1406249999999996,0.5999999999999999,0.4661290322580645,73.32421340629277,4.57890931841707
0.7,4.885416666666666,0.7,0.4774193548387097,60.03920470456455,4.57890931841707
0.8,8.375000000000002,0.8000000000000002,0.535483870967742,48.55072463768114,5.448177226584068
0.9,18.843750000000007,0.8999999999999999,0.5548387096774193,39.274592416193435,5.448177226584068
0.95,39.781249999999964,0.9500000000000003,0.5790322580645161,35.41021512036005,6.482468428208699
0.99,207.2812499999998,0.9900000000000007,0.6129032258064516,32.648138644949974,7.713111225104184
