f_target,replicate,ρ,f_eff,f_observed,K_eff,β_star
0.1,1,0.2326388888888889,0.10000000000000007,0.3532258064516129,80.63181647235804,3.8483348970335034
0.1,2,0.2326388888888889,0.10000000000000007,0.3548387096774194,80.63181647235804,3.8483348970335034
0.1,3,0.2326388888888889,0.10000000000000007,0.3548387096774194,80.63181647235804,3.8483348970335034
0.1,4,0.2326388888888889,0.10000000000000007,0.3467741935483871,80.63181647235804,3.8483348970335034
0.1,5,0.2326388888888889,0.10000000000000007,0.3580645161290323,80.63181647235804,3.8483348970335034
0.2,1,0.5234375,0.2,0.3790322580645161,92.573402417962,3.8483348970335034
0.2,2,0.5234375,0.2,0.3548387096774194,92.573402417962,3.8483348970335034
0.2,3,0.5234375,0.2,0.35,92.573402417962,3.8483348970335034
0.2,4,0.5234375,0.2,0.3532258064516129,92.573402417962,3.8483348970335034
0.2,5,0.5234375,0.2,0.3467741935483871,92.573402417962,3.8483348970335034
0.3,1,0.8973214285714285,0.2999999999999998,0.3532258064516129,98.75633348687239,3.8483348970335034
0.3,2,0.8973214285714285,0.2999999999999998,0.34838709677419355,98.75633348687239,3.8483348970335034
0.3,3,0.8973214285714285,0.2999999999999998,0.34838709677419355,98.75633348687239,3.8483348970335034
0.3,4,0.8973214285714285,0.2999999999999998,0.3580645161290323,98.75633348687239,3.8483348970335034
0.3,5,0.8973214285714285,0.2999999999999998,0.3532258064516129,98.75633348687239,3.8483348970335034
0.4,1,1.3958333333333335,0.4,0.40161290322580645,96.40287769784176,3.8483348970335034
0.4,2,1.3958333333333335,0.4,0.39838709677419354,96.40287769784176,3.8483348970335034
0.4,3,1.3958333333333335,0.4,0.40161290322580645,96.40287769784176,3.8483348970335034
0.4,4,1.3958333333333335,0.4,0.3951612903225806,96.40287769784176,3.8483348970335034
0.4,5,1.3958333333333335,0.4,0.38548387096774195,96.40287769784176,3.8483348970335034
0.5,1,2.09375,0.5,0.4161290322580645,86.62626262626263,4.57890931841707
0.5,2,2.09375,0.5,0.41935483870967744,86.62626262626263,4.57890931841707
0.5,3,2.09375,0.5,0.4161290322580645,86.62626262626263,4.57890931841707
0.5,4,2.09375,0.5,0.42096774193548386,86.62626262626263,4.57890931841707
0.5,5,2.09375,0.5,0.41451612903225804,86.62626262626263,4.57890931841707
0.6,1,3.1406249999999996,0.5999999999999999,0.44193548387096776,73.32421340629277,4.57890931841707
0.6,2,3.1406249999999996,0.5999999999999999,0.4532258064516129,73.32421340629277,4.57890931841707
0.6,3,3.1406249999999996,0.5999999999999999,0.4532258064516129,73.32421340629277,4.57890931841707
0.6,4,3.1406249999999996,0.5999999999999999,0.43709677419354837,73.32421340629277,4.57890931841707
0.6,5,3.1406249999999996,0.5999999999999999,0.43709677419354837,73.32421340629277,4.57890931841707
0.7,1,4.885416666666666,0.7,0.4661290322580645,60.03920470456455,4.57890931841707
0.7,2,4.885416666666666,0.7,0.47419354838709676,60.03920470456455,4.57890931841707
0.7,3,4.885416666666666,0.7,0.47580645161290325,60.03920470456455,4.57890931841707
0.7,4,4.885416666666666,0.7,0.47419354838709676,60.03920470456455,4.57890931841707
0.7,5,4.885416666666666,0.7,0.47419354838709676,60.03920470456455,4.57890931841707
0.8,1,8.375000000000002,0.8000000000000002,0.49193548387096775,48.55072463768114,5.448177226584068
0.8,2,8.375000000000002,0.8000000000000002,0.47419354838709676,48.55072463768114,5.448177226584068
0.8,3,8.375000000000002,0.8000000000000002,0.45645161290322583,48.55072463768114,5.448177226584068
0.8,4,8.375000000000002,0.8000000000000002,0.47096774193548385,48.55072463768114,5.448177226584068
0.8,5,8.375000000000002,0.8000000000000002,0.47258064516129034,48.55072463768114,5.448177226584068
0.9,1,18.843750000000007,0.8999999999999999,0.4854838709677419,39.274592416193435,5.448177226584068
0.9,2,18.843750000000007,0.8999999999999999,0.4854838709677419,39.274592416193435,5.448177226584068
0.9,3,18.843750000000007,0.8999999999999999,0.4935483870967742,39.274592416193435,5.448177226584068
0.9,4,18.843750000000007,0.8999999999999999,0.4935483870967742,39.274592416193435,5.448177226584068
0.9,5,18.843750000000007,0.8999999999999999,0.5,39.274592416193435,5.448177226584068
0.95,1,39.781249999999964,0.9500000000000003,0.5241935483870968,35.41021512036005,6.482468428208699
0.95,2,39.781249999999964,0.9500000000000003,0.5193548387096775,35.41021512036005,6.482468428208699
0.95,3,39.781249999999964,0.9500000000000003,0.5161290322580645,35.41021512036005,6.482468428208699
0.95,4,39.781249999999964,0.9500000000000003,0.5370967741935484,35.41021512036005,6.482468428208699
0.95,5,39.781249999999964,0.9500000000000003,0.5467741935483871,35.41021512036005,6.482468428208699
0.99,1,207.2812499999998,0.9900000000000007,0.5741935483870968,32.648138644949974,7.713111225104184
0.99,2,207.2812499999998,0.9900000000000007,0.5725806451612904,32.648138644949974,7.713111225104184
0.99,3,207.2812499999998,0.9900000000000007,0.5854838709677419,32.648138644949974,7.713111225104184
0.99,4,207.2812499999998,0.9900000000000007,0.5870967741935483,32.648138644949974,7.713111225104184
0.99,5,207.2812499999998,0.9900000000000007,0.5758064516129032,32.648138644949974,7.713111225104184
